date,tmax_c,soil_moisture_m3_m3
2026-06-01,20.30594114435396,0.29077720363025356
2026-06-02,22.607359430553995,0.2921759064931275
2026-06-03,18.133288802312535,0.3281077275471208
2026-06-04,20.364632441306398,0.3258287397571632
2026-06-05,17.86535323904913,0.34312258230775755
2026-06-06,20.761356826269388,0.3240334024729282
2026-06-07,19.494992818487024,0.3119094594941995
2026-06-08,22.984295222454506,0.2996138888129164
2026-06-09,17.77498513867783,0.31866331212011684
2026-06-10,15.858285982316355,0.3303779342822319
2026-06-11,15.921310538325335,0.34040563392580214
2026-06-12,16.00877451606365,0.34671195124658627
2026-06-13,19.92585448072551,0.34434642613880073
2026-06-14,17.681832309718573,0.3295793025841423
2026-06-15,17.972514873140934,0.3164803595268547
2026-06-16,21.68038023287452,0.3072619950589983
2026-06-17,23.581707070629754,0.30284987558129683
2026-06-18,27.25216445032108,0.29053233865327993
2026-06-19,30.56690149290627,0.2802242895295391
2026-06-20,29.95700921777714,0.2739545606846552
2026-06-21,29.00329666803933,0.27158146057052407
2026-06-22,27.67997585698011,0.2658069894851482
2026-06-23,27.67198204444028,0.2529164527071623
2026-06-24,30.267147507417093,0.23879393205818014
2026-06-25,31.04837742360638,0.2245452162888779
2026-06-26,33.08386533742675,0.21234294041529087
2026-06-27,34.91711923482781,0.2040022387966462
2026-06-28,32.90218693536439,0.204775591189628
2026-06-29,26.54641455966621,0.23966969321020892
2026-06-30,26.031945574397987,0.26425371233052786
